"","Condition","Sample","Kp_strain_ref","CFU_per_mL_strain","CFU_per_g_strain","LOD","Tissue","Barrier","Genotype","Log_CI","log_CFU_per_g_strain","log_CFU_per_mL_strain","mean_log_CFU_per_g_strain","mean_log_CFU_per_mL_strain"
"1","KPPR1_dbdb","lung_M594","JV1",4.2e+07,209895052.473763,"No","lung","MP16","dbdb",NA,8.32200220176169,7.6232492903979,7.94818814182861,7.29548507627507
"2","KPPR1_dbdb","lung_M595","JV1",2.5e+07,105351875.26338,"No","lung","MP16","dbdb",NA,8.0226422704547,7.39794000867204,7.94818814182861,7.29548507627507
"3","KPPR1_dbdb","lung_M596","JV1",1680000,6890894.17555373,"No","lung","MP16","dbdb",NA,6.8382755804435,6.22530928172586,7.94818814182861,7.29548507627507
"4","KPPR1_dbdb","lung_M597","JV1",2.6e+07,125664572.257129,"No","lung","MP16","dbdb",NA,8.09921285730508,7.41497334797082,7.94818814182861,7.29548507627507
"5","KPPR1_dbdb","lung_M598","JV1",2.6e+07,125120307.98845,"No","lung","MP16","dbdb",NA,8.09732780474966,7.41497334797082,7.94818814182861,7.29548507627507
"6","KPPR1_het","lung_M599","JV1",1200000,4958677.68595041,"No","lung","MP16","het",NA,6.69536588006719,6.07918124604763,7.12552071558165,6.50150665715095
"7","KPPR1_het","lung_M600","JV1",594000,5098712.44635193,"No","lung","MP16","het",NA,6.70746051961916,5.77378644498119,7.12552071558165,6.50150665715095
"8","KPPR1_het","lung_M601","JV1",2400000,9987515.60549313,"No","lung","MP16","het",NA,6.9994574709077,6.38021124171161,7.12552071558165,6.50150665715095
"9","KPPR1_het","lung_M602","JV1",8e+06,60240963.8554216,"No","lung","MP16","het",NA,7.77989191195994,6.90308998699194,7.12552071558165,6.50150665715095
"10","KPPR1_het","lung_M603","JV1",1.2e+07,55504162.812211,"No","lung","MP16","het",NA,7.74432555643033,7.07918124604763,7.12552071558165,6.50150665715095
"11","KPPR1_dbdb","liver_M594","JV1",43200,73757.8965340618,"No","liver","MP16","dbdb",NA,4.86780852278695,4.63548374681491,3.92752188750424,3.67177438893766
"12","KPPR1_dbdb","liver_M595","JV1",800,1447.70177343467,"No","liver","MP16","dbdb",NA,3.16067910641145,2.90308998699194,3.92752188750424,3.67177438893766
"13","KPPR1_dbdb","liver_M596","JV1",1600,4184.10041841005,"No","liver","MP16","dbdb",NA,3.62160209905186,3.20411998265592,3.92752188750424,3.67177438893766
"14","KPPR1_dbdb","liver_M597","JV1",3800,8324.20591456738,"No","liver","MP16","dbdb",NA,3.92034281474649,3.57978359661681,3.92752188750424,3.67177438893766
"15","KPPR1_dbdb","liver_M598","JV1",18000,29801.3245033113,"No","liver","MP16","dbdb",NA,4.47423556648217,4.25527250510331,3.92752188750424,3.67177438893766
"16","KPPR1_het","liver_M599","JV1",2200,3153.21771535043,"No","liver","MP16","het",NA,3.49875395784306,3.34242268082221,3.1980923109898,3.01340331254578
"17","KPPR1_het","liver_M600","JV1",6800,8732.5028894311,"No","liver","MP16","het",NA,3.94113873801009,3.83250891270624,3.1980923109898,3.01340331254578
"18","KPPR1_het","liver_M601","JV1",199,242.890272183571,"No","liver","MP16","het",NA,2.38541012155031,2.29885307640971,3.1980923109898,3.01340331254578
"19","KPPR1_het","liver_M602","JV1",2e+05,265922.084829145,"No","liver","MP16","het",NA,5.4247544069861,5.30102999566398,3.1980923109898,3.01340331254578
"20","KPPR1_het","liver_M603","JV1",199,250.345955466096,"No","liver","MP16","het",NA,2.39854057942598,2.29885307640971,3.1980923109898,3.01340331254578
"21","KPPR1_dbdb","blood_M594","JV1",400,NA,"No","blood","MP16","dbdb",NA,NA,2.60205999132796,NA,3.74749686988951
"22","KPPR1_dbdb","blood_M595","JV1",35600,NA,"No","blood","MP16","dbdb",NA,NA,4.55144999797287,NA,3.74749686988951
"23","KPPR1_dbdb","blood_M596","JV1",4000,NA,"No","blood","MP16","dbdb",NA,NA,3.60205999132796,NA,3.74749686988951
"24","KPPR1_dbdb","blood_M597","JV1",260000,NA,"No","blood","MP16","dbdb",NA,NA,5.41497334797082,NA,3.74749686988951
"25","KPPR1_dbdb","blood_M598","JV1",48000,NA,"No","blood","MP16","dbdb",NA,NA,4.68124123737559,NA,3.74749686988951
"26","KPPR1_het","blood_M599","JV1",38000,NA,"No","blood","MP16","het",NA,NA,4.57978359661681,NA,3.39693495534869
"27","KPPR1_het","blood_M600","JV1",199,NA,"No","blood","MP16","het",NA,NA,2.29885307640971,NA,3.39693495534869
"28","KPPR1_het","blood_M602","JV1",10000,NA,"No","blood","MP16","het",NA,NA,4,NA,3.39693495534869
"29","KPPR1_het","blood_M603","JV1",80000,NA,"No","blood","MP16","het",NA,NA,4.90308998699194,NA,3.39693495534869
"30","KPPR1_dbdb","lung_M594","JV432",3e+07,149925037.481259,"No","lung","MP16","dbdb",-0.531478917042255,8.17587416608345,7.47712125471966,7.52462524643575,6.8719221808822
"31","KPPR1_dbdb","lung_M595","JV432",7e+06,29498525.0737463,"No","lung","MP16","dbdb",-0.938192850021798,7.46980030179692,6.84509804001426,7.52462524643575,6.8719221808822
"32","KPPR1_dbdb","lung_M596","JV432",720000,2953240.3609516,"No","lung","MP16","dbdb",-0.753327666658611,6.4702987951489,5.85733249643127,7.52462524643575,6.8719221808822
"33","KPPR1_dbdb","lung_M597","JV432",2e+07,96665055.5824067,"No","lung","MP16","dbdb",-0.499294233670854,7.98526950499825,7.30102999566398,7.52462524643575,6.8719221808822
"34","KPPR1_dbdb","lung_M598","JV432",1.8e+07,86621751.6843117,"No","lung","MP16","dbdb",-0.545051724231529,7.93762696188215,7.2552725051033,7.52462524643575,6.8719221808822
"35","KPPR1_het","lung_M599","JV432",1800000,7438016.52892562,"No","lung","MP16","het",-0.209259622308336,6.87145713912287,6.25527250510331,6.49982839240394,5.87581433397324
"36","KPPR1_het","lung_M600","JV432",46000,394849.785407725,"No","lung","MP16","het",-1.49637949466364,5.59643190631954,4.66275783168157,6.49982839240394,5.87581433397324
"37","KPPR1_het","lung_M601","JV432",3200000,13316687.4739908,"No","lung","MP16","het",-0.260412144755717,7.124396207516,6.50514997831991,6.49982839240394,5.87581433397324
"38","KPPR1_het","lung_M602","JV432",3e+07,225903614.457831,"No","lung","MP16","het",0.188680386363702,8.35392317968766,7.47712125471966,6.49982839240394,5.87581433397324
"39","KPPR1_het","lung_M603","JV432",2e+07,92506938.0203516,"No","lung","MP16","het",-0.163502131747661,7.96617430604669,7.30102999566398,6.49982839240394,5.87581433397324
"40","KPPR1_dbdb","liver_M594","JV432",2800,4780.60440498549,"No","liver","MP16","dbdb",-1.57367659683671,3.67948280731426,3.44715803134222,3.80941740146373,3.55366990289714
"41","KPPR1_dbdb","liver_M595","JV432",3000,5428.88165038002,"No","liver","MP16","dbdb",0.188680386363702,3.73471037413917,3.47712125471966,3.80941740146373,3.55366990289714
"42","KPPR1_dbdb","liver_M596","JV432",600,1569.03765690377,"No","liver","MP16","dbdb",-0.811319613636298,3.19563336677958,2.77815125038364,3.80941740146373,3.55366990289714
"43","KPPR1_dbdb","liver_M597","JV432",4600,10076.6703176342,"No","liver","MP16","dbdb",-0.302376646299253,4.00331704981126,3.66275783168157,3.80941740146373,3.55366990289714
"44","KPPR1_dbdb","liver_M598","JV432",38000,62913.9072847682,"No","liver","MP16","dbdb",-0.0608397898505129,4.79874665799568,4.57978359661681,3.80941740146373,3.55366990289714
"45","KPPR1_het","liver_M599","JV432",3000,4299.84233911423,"No","liver","MP16","het",-0.250652307466561,3.63345253174052,3.47712125471966,3.50300432239421,3.33507722094739
"46","KPPR1_het","liver_M600","JV432",600,770.514960832156,"No","liver","MP16","het",-1.43970854368661,2.8867810756875,2.77815125038364,3.50300432239421,3.33507722094739
"47","KPPR1_het","liver_M601","JV432",20000,24411.0826315147,"No","liver","MP16","het",1.61682603789026,4.38758704080458,4.30102999566398,3.50300432239421,3.33507722094739
"48","KPPR1_het","liver_M602","JV432",180000,239329.87634623,"No","liver","MP16","het",-0.431108371924692,5.37899691642543,5.25527250510331,3.50300432239421,3.33507722094739
"49","KPPR1_het","liver_M603","JV432",20000,25160.397534281,"No","liver","MP16","het",1.61682603789026,4.40071749868025,4.30102999566398,3.50300432239421,3.33507722094739
"50","KPPR1_dbdb","blood_M594","JV432",2200,NA,"No","blood","MP16","dbdb",0.355011808130227,NA,3.34242268082221,NA,3.53896268585932
"51","KPPR1_dbdb","blood_M595","JV432",400,NA,"No","blood","MP16","dbdb",-2.33474088800893,NA,2.60205999132796,NA,3.53896268585932
"52","KPPR1_dbdb","blood_M596","JV432",44000,NA,"No","blood","MP16","dbdb",0.656041803794208,NA,4.64345267648619,NA,3.53896268585932
"53","KPPR1_dbdb","blood_M597","JV432",480000,NA,"No","blood","MP16","dbdb",-0.119082991959248,NA,5.68124123737559,NA,3.53896268585932
