"","Condition","Sample","CFU_per_g_total","CFU_per_mL","LOD","Tissue","Barrier","Genotype","dose"
"1","KPPR1_dbdb","lung_M429",4611443210.93083,3.6e+08,"No","lung","mp16","dbdb","high"
"2","KPPR1_dbdb","lung_M430",483050847.457627,3.8e+07,"No","lung","mp16","dbdb","high"
"3","KPPR1_dbdb","lung_M431",536451169.188447,5.2e+07,"No","lung","mp16","dbdb","high"
"4","KPPR1_dbdb","lung_M432",617726051.9248,4.6e+07,"No","lung","mp16","dbdb","high"
"5","KPPR1_dbdb","lung_M433",514672686.230248,3.8e+07,"No","lung","mp16","dbdb","high"
"6","KPPR1_het","lung_M434",3123748498.19783,2.6e+08,"No","lung","mp16","het","high"
"7","KPPR1_het","lung_M435",905306971.904267,5.8e+07,"No","lung","mp16","het","high"
"8","KPPR1_het","lung_M436",301232314.011866,2.2e+07,"No","lung","mp16","het","high"
"9","KPPR1_het","lung_M437",531757754.80059,3.6e+07,"No","lung","mp16","het","high"
"10","KPPR1_het","lung_M438",225187656.380317,1.8e+07,"No","lung","mp16","het","high"
"11","KPPR1_dbdb","liver_M429",3407.80007572889,600,"No","liver","mp16","dbdb","high"
"12","KPPR1_dbdb","liver_M430",887.1802454532,200,"No","liver","mp16","dbdb","high"
"13","KPPR1_dbdb","liver_M432",6083.42989571263,1400,"No","liver","mp16","dbdb","high"
"14","KPPR1_dbdb","liver_M433",14590.651175358,3600,"No","liver","mp16","dbdb","high"
"15","KPPR1_het","liver_M434",14680694.8862246,2e+06,"No","liver","mp16","het","high"
"16","KPPR1_het","liver_M435",21648.3099126472,3800,"No","liver","mp16","het","high"
"17","KPPR1_het","liver_M436",43265.516353335,5600,"No","liver","mp16","het","high"
"18","KPPR1_het","liver_M437",10875.4758020663,2000,"No","liver","mp16","het","high"
"19","KPPR1_het","liver_M438",23233.3010648596,3200,"No","liver","mp16","het","high"
"20","KPPR1_dbdb","blood_M429",NA,1400,"No","blood","mp16","dbdb","high"
"21","KPPR1_dbdb","blood_M430",NA,800,"No","blood","mp16","dbdb","high"
"22","KPPR1_dbdb","blood_M432",NA,1000,"No","blood","mp16","dbdb","high"
"23","KPPR1_dbdb","blood_M433",NA,600,"No","blood","mp16","dbdb","high"
"24","KPPR1_het","blood_M435",NA,800,"No","blood","mp16","het","high"
"25","KPPR1_het","blood_M436",NA,54000,"No","blood","mp16","het","high"
"26","KPPR1_het","blood_M437",NA,24000,"No","blood","mp16","het","high"
"27","KPPR1_het","blood_M438",NA,4000,"No","blood","mp16","het","high"
"28","KPPR1_dbdb","lung_M439",56280587.2756933,4600000,"No","lung","mp16","dbdb","high"
"29","KPPR1_dbdb","lung_M440",88734232.2749023,6800000,"No","lung","mp16","dbdb","high"
"30","KPPR1_dbdb","lung_M441",354243542.435424,3.2e+07,"No","lung","mp16","dbdb","high"
"31","KPPR1_dbdb","lung_M442",426856380.613605,3.2e+07,"No","lung","mp16","dbdb","high"
"32","KPPR1_dbdb","lung_M443",275229357.798165,2.2e+07,"No","lung","mp16","dbdb","high"
"33","KPPR1_het","lung_M444",40449438.2022473,3600000,"No","lung","mp16","het","high"
"34","KPPR1_het","lung_M445",30527289.5467159,2200000,"No","lung","mp16","het","high"
"35","KPPR1_het","lung_M446",31331592.689295,2e+06,"No","lung","mp16","het","high"
"36","KPPR1_het","lung_M447",37801890.0945047,3600000,"No","lung","mp16","het","high"
"37","KPPR1_het","lung_M448",48325561.6786775,3800000,"No","lung","mp16","het","high"
"38","KPPR1_dbdb","liver_M441",2381.58242921408,600,"No","liver","mp16","dbdb","high"
"39","KPPR1_dbdb","liver_M442",772.300167331702,200,"No","liver","mp16","dbdb","high"
"40","KPPR1_dbdb","liver_M443",2922.90829375228,800,"No","liver","mp16","dbdb","high"
"41","KPPR1_het","liver_M444",806.234883095941,200,"No","liver","mp16","het","high"
"42","KPPR1_het","liver_M445",1236.81489141675,199.333333333333,"No","liver","mp16","het","high"
