"","Condition","Sample","CFU_per_g_total","LOD","Tissue","Barrier","Genotype","Abx","log_CFU_per_g_total","group","mean_log_CFU_per_g_total"
"1","KPPR1_noabx_het","cecum_294",3345.7249070632,"No","cecum","em08","het","No",3.52449022943692,"het_No",4.28919338932951
"2","KPPR1_noabx_het","cecum_295",1534.13449245717,"No","cecum","em08","het","No",3.18586343443151,"het_No",4.28919338932951
"3","KPPR1_noabx_het","cecum_296",12881.679389313,"No","cecum","em08","het","No",4.1099724858473,"het_No",4.28919338932951
"4","KPPR1_noabx_het","cecum_297",13138.6861313868,"No","cecum","em08","het","No",4.1185519379469,"het_No",4.28919338932951
"5","KPPR1_noabx_het","cecum_298",280373.831775701,"No","cecum","em08","het","No",5.44773747703445,"het_No",4.28919338932951
"6","KPPR1_noabx_dbdb","cecum_299",150999.25980755,"No","cecum","mp16","dbdb","No",5.17897481840387,"dbdb_No",6.09650142988534
"7","KPPR1_noabx_dbdb","cecum_300",83275503.1228313,"No","cecum","mp16","dbdb","No",7.92051726523364,"dbdb_No",6.09650142988534
"8","KPPR1_noabx_dbdb","cecum_301",3851.09114249037,"No","cecum","mp16","dbdb","No",3.5855837970471,"dbdb_No",6.09650142988534
"9","KPPR1_noabx_dbdb","cecum_302",8040500.2977963,"No","cecum","mp16","dbdb","No",6.90528307235696,"dbdb_No",6.09650142988534
"10","KPPR1_noabx_dbdb","cecum_303",2267.00251889169,"No","cecum","mp16","dbdb","No",3.35545200267621,"dbdb_No",6.09650142988534
"11","KPPR1_noabx_het","cecum_325",159.424153559051,"No","cecum","em08","het","No",2.20255411983769,"het_No",4.28919338932951
"12","KPPR1_noabx_het","cecum_326",155.082987551867,"No","cecum","em08","het","No",2.19056415875762,"het_No",4.28919338932951
"13","KPPR1_noabx_het","cecum_327",15831.1345646438,"No","cecum","em08","het","No",4.19951204041557,"het_No",4.28919338932951
"14","KPPR1_noabx_het","cecum_328",61475.4098360657,"No","cecum","em08","het","No",4.78870143271695,"het_No",4.28919338932951
"15","KPPR1_noabx_dbdb","cecum_329",1736761.45070663,"No","cecum","em08","dbdb","No",6.23974017091896,"dbdb_No",6.09650142988534
"16","KPPR1_noabx_dbdb","cecum_330",281743.050338091,"No","cecum","em08","dbdb","No",5.44985321225304,"dbdb_No",6.09650142988534
"17","KPPR1_noabx_dbdb","cecum_331",1703335.69907736,"No","cecum","em08","dbdb","No",6.23130024860225,"dbdb_No",6.09650142988534
"18","KPPR1_noabx_dbdb","cecum_332",1315.21262604121,"No","cecum","em08","dbdb","No",3.11899596944301,"dbdb_No",6.09650142988534
"19","KPPR1_noabx_dbdb","cecum_333",19472.2731762382,"No","cecum","em08","dbdb","No",4.28941665363972,"dbdb_No",6.09650142988534
"20","KPPR1_noabx_dbdb","cecum_604",2747710.24146545,"No","cecum","mp16","dbdb","No",6.43897093247498,"dbdb_No",6.09650142988534
