"","sample","genotype","barrier","group","log_CFU_per_g_total"
"1","M294","het","em08","het_No",3.52449022943692
"2","M295","het","em08","het_No",3.18586343443151
"3","M296","het","em08","het_No",4.1099724858473
"4","M297","het","em08","het_No",4.1185519379469
"5","M298","het","em08","het_No",5.44773747703445
"6","M299","dbdb","mp16","dbdb_No",5.17897481840387
"7","M300","dbdb","mp16","dbdb_No",7.92051726523364
"8","M301","dbdb","mp16","dbdb_No",3.5855837970471
"9","M302","dbdb","mp16","dbdb_No",6.90528307235696
"10","M303","dbdb","mp16","dbdb_No",3.35545200267621
"11","M324","het","em08","het_No",2.15148596861592
"12","M325","het","em08","het_No",2.20255411983769
"13","M326","het","em08","het_No",2.19056415875762
"14","M327","het","em08","het_No",4.19951204041557
"15","M328","het","em08","het_No",4.78870143271695
"16","M329","dbdb","em08","dbdb_No",6.23974017091896
"17","M330","dbdb","em08","dbdb_No",5.44985321225304
"18","M331","dbdb","em08","dbdb_No",6.23130024860225
"19","M332","dbdb","em08","dbdb_No",3.11899596944301
"20","M333","dbdb","em08","dbdb_No",4.28941665363972
"21","M604","dbdb","mp16","dbdb_No",6.43897093247498
"22","M605","dbdb","mp16","dbdb_No",7.17847282504989
"23","M606","dbdb","mp16","dbdb_No",7.07308975706172
"24","M607","dbdb","mp16","dbdb_No",6.36821812705235
"25","M608","dbdb","mp16","dbdb_No",8.83621410837168
"26","M609","het","mp16","het_No",4.45167884033196
"27","M610","het","mp16","het_No",4.71070840760726
"28","M611","het","mp16","het_No",NA
"29","M612","het","mp16","het_No",4.67116023434863
"30","M613","het","mp16","het_No",5.48675773041677
"31","M629","dbdb","mp16","dbdb_No",8.14422395220257
"32","M630","dbdb","mp16","dbdb_No",8.57309270322816
"33","M631","dbdb","mp16","dbdb_No",8.22568583347285
"34","M632","dbdb","mp16","dbdb_No",4.4728692404328
"35","M633","dbdb","mp16","dbdb_No",4.34407390778495
"36","M634","het","mp16","het_No",4.86855065297763
"37","M635","het","mp16","het_No",5.37934352018038
"38","M636","het","mp16","het_No",4.85056093571576
"39","M637","het","mp16","het_No",4.7295799805983
"40","M638","het","mp16","het_No",NA
"41","M544","dbdb","mp16","dbdb_Yes",8.42143393847247
"42","M545","dbdb","mp16","dbdb_Yes",8.41499859838403
"43","M546","dbdb","mp16","dbdb_Yes",8.28066261889533
"44","M547","dbdb","mp16","dbdb_Yes",8.51054595432608
"45","M548","dbdb","mp16","dbdb_Yes",8.18432265427089
"46","M549","het","mp16","het_Yes",8.59894026317771
"47","M550","het","mp16","het_Yes",9.35840196468927
"48","M551","het","mp16","het_Yes",8.04878394519086
"49","M552","het","mp16","het_Yes",8.45499126518927
"50","M553","het","mp16","het_Yes",8.08839855424449
"51","M689","dbdb","mp16","dbdb_Yes",6.77021481808873
"52","M690","dbdb","mp16","dbdb_Yes",11.7674803509633
"53","M693","dbdb","mp16","dbdb_Yes",5.31899282055619
"54","M696","het","mp16","het_Yes",6.29131358999463
